"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJb163VywmQg0RwqeBLkoSKQo","Manuel Peral Tejero","Rda. de Valencia, 4, Centro, 28012 Madrid, Spain","914 68 07 76","3.6","29","Auto Parts Store","auto_parts_store","Centro","https://maps.google.com/?cid=732136524241545154&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJvb-uBX4lQg0R3QuKv0K0aeQ","Topcar Alcampo Moratalaz","CC Alcampo Moratalaz, C. del Camino de los Vinateros, s/n, Parking -1, Moratalaz, 28030 Madrid, Spain","692 39 19 77","3.8","505","Car repair and maintenance service","auto_parts_store","Retiro","https://maps.google.com/?cid=16458884511976524765&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJSe71dxgmQg0RGSK4KkMX5wE","TALLER TERREMOTOS","C. de Vandergoten, 4, Retiro, 28014 Madrid, Spain","640 16 71 33","4.7","216","Car repair and maintenance service","auto_parts_store","Retiro","https://maps.google.com/?cid=137103890905047577&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJBdL5uUQpQg0RFpQ4QRSY5rU","Recuperación De Metales José Ramón del Peral","Calle de Colomer, 7, local 3, Salamanca, 28028 Madrid, Spain","917 25 50 18","4.6","44","Auto Parts Store","auto_parts_store","Salamanca","https://maps.google.com/?cid=13107330978269402134&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJeZF3D0YvQg0RBmkTYlso63E","Talleres Rezauto Motor S.l","C. Amador Valdés, 7, Cdad. Lineal, 28017 Madrid, Spain","613 30 88 52","4.4","483","Car repair and maintenance service","auto_parts_store","Salamanca","https://maps.google.com/?cid=8208699118765435142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJJXxbwZonQg0RQF0-ivtNHag","PG Car, S.L.","C. del Camino Viejo de Leganés, 172, Carabanchel, 28025 Madrid, Spain","915 25 21 72","4.5","144","Auto Parts Store","auto_parts_store","Usera","https://maps.google.com/?cid=12113924315447975232&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJl81SObknQg0RvT1lcCRWNEI","Recambios de la Morena","C. del Arroyo Opañel, 6, Carabanchel, 28019 Madrid, Spain","915 60 06 98","4.7","117","Auto Parts Store","auto_parts_store","Usera","https://maps.google.com/?cid=4770532619796692413&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJXzz7JUolQg0R870TfbOPmko","Taller TOP CAR ALCAMPO VALLECAS","C.C Alcampo Vallecas (parking subterráneo, C. Monleón, 1, Puente de Vallecas, 28038 Madrid, Spain","675 95 36 55","4.2","190","Car repair and maintenance service","auto_parts_store","Moratalaz","https://maps.google.com/?cid=5375767106280472051&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJzY166aMnQg0RtA5RYQ7lU7g","RECAMBIOS MADRID RYAUTO S.L.","Av. de Peña Prieta, 84, Puente de Vallecas, 28038 Madrid, Spain","915 51 48 92","4.6","45","Auto Parts Store","auto_parts_store","Moratalaz","https://maps.google.com/?cid=13282211575970729652&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJy2VdkmMlQg0RiE6ZO9KyE4g","RECICLAJES GARCIA","C. de Pío Felipe, 38, Puente de Vallecas, 28038 Madrid, Spain","642 83 80 99","5","3","Auto Parts Store","auto_parts_store","Moratalaz","https://maps.google.com/?cid=9805377429728480904&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ9f23A48vQg0RdgBkQuRyvJU","Recambios Pinchete S.L","C. de Sofía, 34D, San Blas-Canillejas, 28022 Madrid, Spain","917 75 44 80","4.7","332","Auto Parts Store","auto_parts_store","Ciudad Lineal","https://maps.google.com/?cid=10789625131964825718&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJE-KE7UclQg0RzqpRYEfYcAs","Recoveries Manuel Thick","C. Pirotecnia, 55, Vicálvaro, 28052 Madrid, Spain","917 76 09 91","3.9","171","Auto Parts Store","auto_parts_store","Villa de Vallecas","https://maps.google.com/?cid=824396532879043278&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
