"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJpaeX6lcnQg0Rg2gjg-o19ng","Scarlett Atocha - Reina Sofía | Specialty Coffee • Real Food","Pl. del Emperador Carlos V, 10, Centro, 28012 Madrid, Spain","915 28 78 13","4.6","2368","Brunch Restaurant","bakery","Centro","https://maps.google.com/?cid=8716213410160928899&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ7VWXFAApQg0R1mEniuewl8U","CUADRA","C. del Cardenal Cisneros, 40, Chamberí, 28010 Madrid, Spain","","4.4","630","Bakery","bakery","Centro","https://maps.google.com/?cid=14238043255456883158&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJlc9WkCYpQg0RAXsmPXZHP4A","La Torta","C. de Chile, 21, Chamartín, 28016 Madrid, Spain","915 77 79 90","4.7","256","Cake Shop","bakery","Tetuán","https://maps.google.com/?cid=9241183533545192193&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJHXwMPaEnQg0RBDHywmIaVO8","Panadería La Pereirana","C. de Marcelo Usera, 36, Usera, 28026 Madrid, Spain","910 17 00 43","4.2","2183","Bakery","bakery","Carabanchel","https://maps.google.com/?cid=17245437884588241156&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJqROpCbMnQg0RwK6R1RP3yuo","Clan Obrador Artesano","Calle del Gasómetro, 11, Arganzuela, 28005 Madrid, Spain","","4.8","602","Bakery","bakery","Carabanchel","https://maps.google.com/?cid=16918606614730223296&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJGzGL5vIlQg0RcRPAjPBG4R4","Tartalia Moratalaz","C. del Camino de los Vinateros, 123, Moratalaz, 28030 Madrid, Spain","910 27 85 38","3.9","603","Pastry Shop","bakery","Moratalaz","https://maps.google.com/?cid=2225137689865229169&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJC5sf4fMmQg0R8Rut8LRCTFg","Cafetería El Obrador de Severiano","C. Periana, Usera, 28041 Madrid, Spain","917 92 30 57","4.3","203","Coffee Shop","bakery","Villaverde","https://maps.google.com/?cid=6362533718467091441&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJc3sCwNMnQg0R-nJ8Of2ZmMc","Cafeteria y Panadería DelyPans JR","C. de Juan José Martínez Seco, 62, local B, Villaverde, 28021 Madrid, Spain","692 12 54 78","3.8","172","Bakery","bakery","Villaverde","https://maps.google.com/?cid=14382414722877911802&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJY-sgU64lQg0RnHob3ZBNykE","LA TAHONA DE ANDREA II","Av. de la Albufera, 416, Puente de Vallecas, 28031 Madrid, Spain","910 27 28 28","4","834","Bakery","bakery","Villa de Vallecas","https://maps.google.com/?cid=4740686842341063324&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ1V7ZYAAvQg0RQu5pTuZoTKA","Quésame Cheesecake & Love","C. de Suecia, 73, San Blas-Canillejas, 28022 Madrid, Spain","666 04 90 66","4.9","253","Bakery","bakery","Vicálvaro","https://maps.google.com/?cid=11550722482665811522&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
