"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJm_dlPysmQg0RNt8ww-j3u94","Tala Cosmeticos","C. de Lavapiés, 52, Centro, 28012 Madrid, Spain","642 06 49 98","4.3","216","Store","barber_shop","Centro","https://maps.google.com/?cid=16049694276144127798&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ2UMaB10pQg0RRviGxwrjUaU","MVP Barber Studio","C. del Molino de Viento, 10, Centro, 28004 Madrid, Spain","635 70 81 12","4.9","883","Barber shop","barber_shop","Centro","https://maps.google.com/?cid=11912552124808362054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJjypXM38oQg0Rc9-H_8Y8T18","The Kinze de Cuchilleros","C. de Cuchilleros, 15, Centro, 28005 Madrid, Spain","911 76 19 88","4.7","674","Barber shop","barber_shop","Centro","https://maps.google.com/?cid=6867774782151581555&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ45pMmgYpQg0Rv6VCfWgJpr0","Macho Sport Barbers Huertas - Sol. Barberia en Madrid Centro","C. de la Cruz, 9, Centro, 28012 Madrid, Spain","911 12 41 00","4.6","420","Barber shop","barber_shop","Centro","https://maps.google.com/?cid=13665620463685117375&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJdSQEhPMnQg0RLQ-cU77MVyw","The Hair square","C. de Santocildes, 2, Arganzuela, 28005 Madrid, Spain","662 15 45 27","4.9","339","Barber shop","barber_shop","Arganzuela","https://maps.google.com/?cid=3195247578461245229&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJdQrJ5cspQg0R_rBlZAI7VOw","Emporio Barber","C. de Pelayo, 6, Centro, 28004 Madrid, Spain","910 93 52 42","4.9","341","Barber shop","barber_shop","Arganzuela","https://maps.google.com/?cid=17029300972455047422&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJScF4cMUpQg0Rt19babDolaQ","Barbería / peluquería de caballeros ""Señor gato""","C/ del Alcalde Sainz de Baranda, 16, Retiro, 28009 Madrid, Spain","912 79 53 81","4.9","255","Barber shop","barber_shop","Retiro","https://maps.google.com/?cid=11859641038129553335&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ39Rjw9YnQg0RYzqxvhrgwH4","Peluquería hombres","C. de la Batalla del Salado, 41, Arganzuela, 28045 Madrid, Spain","631 85 86 32","5","25","Barber shop","barber_shop","Retiro","https://maps.google.com/?cid=9133546449780423267&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJQ-ONs9UnQg0RDrX1ZIicu4Q","Cosméticos AFROLATINOS Madrid","C. de Lavapiés, 53, Centro, 28012 Madrid, Spain","911 68 60 69","4.8","44","","barber_shop","Retiro","https://maps.google.com/?cid=9564410343274689806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJwRySO40pQg0R1uRjkeMA3TE","DOBLE ALFA BARBEROS (García Paredes) Chamberí","Calle de García de Paredes, 36, Chamberí, 28010 Madrid, Spain","619 54 54 64","4.9","598","Barber shop","barber_shop","Salamanca","https://maps.google.com/?cid=3593029055108342998&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
