"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJYe3XbxspQg0Rr2IepPuL8AA","MiiN Korean Cosmetics · Boutique & Treatments","Corre. Alta de San Pablo, 1, Centro, 28004 Madrid, Spain","689 31 21 14","4.5","166","Cosmetics Store","beauty_salon","Centro","https://maps.google.com/?cid=67707907317064367&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJm_dlPysmQg0RNt8ww-j3u94","Tala Cosmeticos","C. de Lavapiés, 52, Centro, 28012 Madrid, Spain","642 06 49 98","4.3","216","Store","beauty_salon","Centro","https://maps.google.com/?cid=16049694276144127798&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJzT3_04EpQg0RztnNj-bSwO8","Gold Nails Massage (Masajes, Pedicura, Uñas y Manicuras)","C. de Jacometrezo, 15, Local 8, Centro, 28013 Madrid, Spain","919 30 78 58","4.5","562","Nail Salon","beauty_salon","Centro","https://maps.google.com/?cid=17276040058290166222&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJdwpNWgePQQ0Rxexs_-eCE7Y","Bloom Nails","Tr.ª Mayor, 10, 28921 Alcorcón, Madrid, Spain","614 33 43 59","4.6","55","Nail Salon","beauty_salon","Latina","https://maps.google.com/?cid=13119974072394771653&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJUzhZo7MnQg0Ryvrns5MWzsk","Gathiss Cosmetics","C. de Marcelo Usera, 77, Usera, 28026 Madrid, Spain","","4.6","10","Beauty Salon","beauty_salon","Carabanchel","https://maps.google.com/?cid=14541585070460238538&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJOdx_kzUnQg0Rsv0pAVvRLO4","Uñas Yu Ting","C. de Víctor Manuel III, 10, Carabanchel, 28019 Madrid, Spain","688 06 02 99","4.8","26","Nail Salon","beauty_salon","Usera","https://maps.google.com/?cid=17162322468793875890&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJe-lGVJ0nQg0RjLxo82TJq1s","Cejastudio by Jennifer ortiz","Calle de Antonio López, 51, Carabanchel, 28019 Madrid, Spain","641 83 32 59","3.8","113","Beauty Salon","beauty_salon","Usera","https://maps.google.com/?cid=6605594713886604428&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJcwv8lYsnQg0RKAd_WssUXd0","Uñas Natur Estética","C. de Embajadores, 174, Arganzuela, 28045 Madrid, Spain","683 11 56 36","4","113","Nail Salon","beauty_salon","Usera","https://maps.google.com/?cid=15950928318845355816&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJxXnprDYmQg0RRaATgbDDPA4","Dr.Bline Clínica Estética Madrid","C. de Embajadores, 142, Arganzuela, 28045 Madrid, Spain","911 29 56 28","4.7","92","Medical Center","beauty_salon","Usera","https://maps.google.com/?cid=1025909977980837957&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJzzU7yU0lQg0RKiR2VlhA9QA","Belleza Integral Queen","29 Calle Arroyo de la Media Legua Local Queen, Moratalaz, 28030 Madrid, Spain","643 32 53 32","4.3","281","Beauty Salon","beauty_salon","Moratalaz","https://maps.google.com/?cid=69032117445993514&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJoYA7z70vQg0RJzswyd55i3c","Oasis Beauty & Nails","C. de Arriaga, 29, Cdad. Lineal, 28017 Madrid, Spain","633 69 52 26","4.9","100","Beauty Salon","beauty_salon","Moratalaz","https://maps.google.com/?cid=8614112710041287463&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJk1_4kPwlQg0RYe1YUSeqeJg","hola guapa!","Calle Benadalid, 6 Posterior se entra por calle Fuengirola 2 estamos, enfrente, Puente de Vallecas, 28018 Madrid, Spain","644 98 82 83","4.5","106","Nail Salon","beauty_salon","Moratalaz","https://maps.google.com/?cid=10986718376815553889&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJAUEqtO4vQg0RokQkNR7y8dM","Angela uñas","C/ de Boltaña, 13, San Blas-Canillejas, 28022 Madrid, Spain","643 05 97 37","4.7","206","Nail Salon","beauty_salon","Hortaleza","https://maps.google.com/?cid=15272254022944572578&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ3T6rXwAhQg0RjfA-wbC1dTM","Uñas el bercial","Av. Comandante José Manuel Ripollés, 1, 28907 Getafe, Madrid, Spain","617 88 22 16","4","94","Nail Salon","beauty_salon","Villaverde","https://maps.google.com/?cid=3708069638970470541&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJo6Ahg-kmQg0R2aGXaa6fkT8","Magic Nail","Ctra. Villaverde a Vallecas, 26, Villaverde, 28021 Madrid, Spain","641 11 00 63","4.1","225","Beauty Salon","beauty_salon","Villaverde","https://maps.google.com/?cid=4580617867457176025&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
