"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJC3ugtjgpQg0RY2IcXvHso44","INDIAN BIKE MADRID","C. de Meléndez Valdés, 43, Chamberí, 28015 Madrid, Spain","916 26 45 62","4.7","146","Bicycle Shop","bicycle_store","Centro","https://maps.google.com/?cid=10278319295999795811&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJe6lKmAooQg0Rwa996aDf598","Ciclo Work","C. de Saavedra Fajardo, 21, Latina, 28011 Madrid, Spain","914 79 61 05","4.6","127","Bicycle Shop","bicycle_store","Centro","https://maps.google.com/?cid=16134110072283180993&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJD2X9eQooQg0RU2ny9HgDzoU","Pepe's Bike","Latina, 28011 Madrid, Spain","914 64 14 32","1","1","Bicycle Shop","bicycle_store","Centro","https://maps.google.com/?cid=9641647670287296851&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJB0E-IEgmQg0RhLJqy58Elso","Bici más fácil. Tienda y taller de bicicletas. Alquiler de bicicletas. Bike rental","C. de Embajadores, 212, Arganzuela, 28045 Madrid, Spain","911 40 51 43","4.8","239","Bicycle Shop","bicycle_store","Arganzuela","https://maps.google.com/?cid=14597860326527120004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJcQKdcxkmQg0RvS9R8heJi4I","Youin","C. de José Sánchez Pescador, Nº10, 2807, Retiro, 28007 Madrid, Spain","937 19 18 11","2.1","12","Bicycle Shop","bicycle_store","Retiro","https://maps.google.com/?cid=9406762982636072893&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ05gWH0gvQg0RQf6lkCqh678","Mi BICIO","C. de Virgen de Lluc, 24, Cdad. Lineal, 28027 Madrid, Spain","915 47 47 49","3.7","111","Bicycle Shop","bicycle_store","Salamanca","https://maps.google.com/?cid=13829324284958735937&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJp-0uHEcvQg0RzQD86YcZ-qU","Quintabike","Ciudad Lineal, 28017 Madrid, Spain","","4.7","6","Bicycle Shop","bicycle_store","Salamanca","https://maps.google.com/?cid=11959899831972659405&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ27KvdxApQg0RI4ll6o3qoVc","Minati cycle-studio","C. de la Palmera, 23, Local, Tetuán, 28029 Madrid, Spain","651 53 34 74","4.9","56","Bicycle Shop","bicycle_store","Chamartín","https://maps.google.com/?cid=6314586047793957155&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJq7BS1AApQg0RrgF4vNK__pA","Bicicletas Moreno","C. de Huesca, 9, Tetuán, 28020 Madrid, Spain","915 79 48 76","4.5","29","Bicycle Shop","bicycle_store","Tetuán","https://maps.google.com/?cid=10447999097372148142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJFwwzVbYpQg0RwqfPtMl6VOE","Tienda de bicicletas","C. de San Germán, 70, Tetuán, 28020 Madrid, Spain","602 47 35 00","0","0","Bicycle Shop","bicycle_store","Tetuán","https://maps.google.com/?cid=16236737563318003650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJZ4taz1EoQg0R3R_myesaQeY","Marina Ampudia Simón","Av. de la Reina Victoria, 53, Moncloa - Aravaca, 28040 Madrid, Spain","915 33 77 26","0","0","Bicycle Shop","bicycle_store","Tetuán","https://maps.google.com/?cid=16591572102216556509&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJuco_PaIpQg0Rn3KF-YxdcY4","BateriArts","C. del Cardenal Cisneros, 16, Chamberí, 28010 Madrid, Spain","632 68 76 54","5","1","Bicycle Shop","bicycle_store","Chamberí","https://maps.google.com/?cid=10264087885817148063&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJR6ato3QpQg0RPwfu9IVtePs","Tienda de bicicletas","C. de Fernando el Católico, 29, Chamberí, 28015 Madrid, Spain","612 49 33 38","5","1","Bicycle Shop","bicycle_store","Chamberí","https://maps.google.com/?cid=18120353522832508735&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJsexBMRuIQQ0RFTjoVGv1qI4","Ciclos Del Olmo","C. del Concejal Francisco José Jiménez Martín, 152, Latina, 28047 Madrid, Spain","914 63 43 52","4.5","35","Bicycle Shop","bicycle_store","Latina","https://maps.google.com/?cid=10279735990807967765&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
