"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJVQdIz8QoQg0RCYRXo6PFDbY","Mi Alcampo","Calle del Gral. Zabala, 24, Chamartín, 28002 Madrid, Spain","911 76 14 97","4.5","66","Hypermarket","butcher_shop","Chamartín","https://maps.google.com/?cid=13118358596210885641&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJYWtgAgQpQg0RpJfTcBEPIkg","SO'O PORĂ SUPERMERCADO","C. del Pensamiento, 5, Tetuán, 28020 Madrid, Spain","911 15 83 82","4.5","123","Butcher Shop","butcher_shop","Tetuán","https://maps.google.com/?cid=5197733487520749476&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJj8deaDYvQg0RYfGrLpjl-u8","El Hogar Halal Butcher Shop","C. Antonio Calvo, 2, local3, Cdad. Lineal, 28027 Madrid, Spain","913 26 02 38","4.6","79","Butcher Shop","butcher_shop","San Blas - Canillejas","https://maps.google.com/?cid=17292386161023250785&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJo74WEqUvQg0R7G9gBaAsoV4","Alimentación Los Mares","C/ de Boltaña, 18, San Blas-Canillejas, 28022 Madrid, Spain","917 41 52 02","4.3","104","Butcher Shop","butcher_shop","Barajas","https://maps.google.com/?cid=6818780376612237292&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJRUvP49IvQg0ReYViN0zchpA","La Fuente IV","C. de la Carabela, 14, Local, Barajas, 28042 Madrid, Spain","911 53 11 98","4.5","135","Butcher Shop","butcher_shop","Barajas","https://maps.google.com/?cid=10414253408245679481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJV4RGQ6wvQg0RINIHIGFGDX0","Piovera Gourmet","C. de Guadalajara, 11, Hortaleza, 28042 Madrid, Spain","917 42 36 22","4.3","87","Supermarket","butcher_shop","Barajas","https://maps.google.com/?cid=9010935812401386016&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJJ_llEAAvQg0RYloboxZuiFY","Carnes Selectas Quevedo","C/ de Boltaña, 70, San Blas-Canillejas, 28022 Madrid, Spain","697 53 16 23","5","41","Butcher Shop","butcher_shop","Barajas","https://maps.google.com/?cid=6235354727599266402&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ_Q3-PEgwQg0R02eT5aT0RcE","Skare Spain S.L.","Av. de Aragón, 398, San Blas-Canillejas, 28022 Madrid, Spain","913 29 06 03","3.6","7","Butcher Shop","butcher_shop","Barajas","https://maps.google.com/?cid=13926806411776583635&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJSdhgINozQg0RPO1BdGhU6HA","Comercial Thedysa, S.L.","Av. de Torrejón, 3, 28860 Paracuellos de Jarama, Madrid, Spain","916 58 22 11","4.1","149","Supermarket","butcher_shop","Barajas","https://maps.google.com/?cid=8135845534448610620&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJSxm2hbYvQg0R5qPoNJeQYJs","Casquería Juan Gómez","C/ de Boltaña, 19, San Blas-Canillejas, 28022 Madrid, Spain","917 41 08 43","4.7","16","Butcher Shop","butcher_shop","Barajas","https://maps.google.com/?cid=11196107652745176038&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
