"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJQQD5zZYoQg0R1AR-a-GC3Qg","Lavadero de Coches Bubble Car Wash Serrano Lavado Detailing Parking Serranopark2","Calle de Serrano, 44, Entrada de vehiculos, C. de Hermosilla, 7, sotano-1, Salamanca, 28001 Madrid, Spain","624 69 97 44","4.8","318","","car_wash","Centro","https://maps.google.com/?cid=638810626839151828&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJgYH7aDImQg0Rm8NVY0TGk_M","Auto Lavado","C. de Embajadores, 83, Arganzuela, 28012 Madrid, Spain","915 39 68 64","4","196","Car Wash","car_wash","Centro","https://maps.google.com/?cid=17551590169819595675&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ_35-epcoQg0RFVndGgqXe4M","Garaje público 24h","Calle de Lagasca, 27, Salamanca, 28001 Madrid, Spain","627 06 00 64","2.1","50","Car Wash","car_wash","Centro","https://maps.google.com/?cid=9474332310760151317&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ591u7GAoQg0RcucszqwGJkM","Lavadero de Coches Bubble Car Wash Parking Quevedo Lavado Detailing","Parking Indigo Quevedo, Calle de Rodríguez San Pedro, 8, Chamberí, 28015 Madrid, Spain","650 33 84 77","4.6","339","Car Wash","car_wash","Centro","https://maps.google.com/?cid=4838562188919367538&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ79FF5S0pQg0RK5e3Fgmgzdg","(Parking & Servicios) Lavadero y Detailing de coches","calle de la princesa, plaza de los cubos, 5, parking - 1, Moncloa - Aravaca, 28008 Madrid, Spain","915 42 29 63","4.9","112","Car Wash","car_wash","Centro","https://maps.google.com/?cid=15622318643314399019&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJT0jpk2wmQg0R4Z1Zrhe0-Fw","Auto Lavado Repsol","Puente de Vallecas, 28053 Madrid, Spain","","3.5","38","Car Wash","car_wash","Arganzuela","https://maps.google.com/?cid=6699302459515968993&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJkSlJKRYnQg0R396psRBAs_I","Aparcamiento [P] Cavanilles 49","C. de Cavanilles, 49, Retiro, 28007 Madrid, Spain","910 25 89 48","3.7","84","Parking Lot","car_wash","Arganzuela","https://maps.google.com/?cid=17488392218454122207&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJvb-uBX4lQg0R3QuKv0K0aeQ","Topcar Alcampo Moratalaz","CC Alcampo Moratalaz, C. del Camino de los Vinateros, s/n, Parking -1, Moratalaz, 28030 Madrid, Spain","692 39 19 77","3.8","505","Car repair and maintenance service","car_wash","Retiro","https://maps.google.com/?cid=16458884511976524765&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJhbZSI9IpQg0RU-az2XO8GNw","Lavado Máiquez","C. de Máiquez, 21, Retiro, 28009 Madrid, Spain","624 72 59 36","4.4","152","Car Wash","car_wash","Retiro","https://maps.google.com/?cid=15859633293544908371&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJXwfW_tIoQg0Rk2E4BfgPh5s","[P] Garage parking and washing Puebla","C/ del Padre Claret, 13, Chamartín, 28002 Madrid, Spain","914 13 75 55","4.6","59","Parking Garage","car_wash","Salamanca","https://maps.google.com/?cid=11206943755648655763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ5yqAir8oQg0RyGsjvlZl3TI","Aparcamiento [P] General Oraa 63","C. del Gral. Oráa, 63, Salamanca, 28006 Madrid, Spain","605 57 83 43","2.8","72","Parking Garage","car_wash","Salamanca","https://maps.google.com/?cid=3665197094981037000&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJeZF3D0YvQg0RBmkTYlso63E","Talleres Rezauto Motor S.l","C. Amador Valdés, 7, Cdad. Lineal, 28017 Madrid, Spain","613 30 88 52","4.4","483","Car repair and maintenance service","car_wash","Salamanca","https://maps.google.com/?cid=8208699118765435142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJq7iUMXUpQg0RCRhzs4qAl-w","Jet Wash","C. de Sinesio Delgado, 15, Tetuán, 28029 Madrid, Spain","","4","216","Car Wash","car_wash","Chamartín","https://maps.google.com/?cid=17048236247638808585&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJEWEctC6GQQ0R4il7OSdQiGE","BP Somosaguas","Av. de Radio Televisión, 1, 28223 Pozuelo de Alarcón, Madrid, Spain","913 51 24 71","3.9","809","Gas Station","car_wash","Latina","https://maps.google.com/?cid=7027955347909978594&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ35QMOsqOQQ0RzmZXyH_KamA","Parking Centro Alcorcon Estacionamientos Y Garajes Virgen Blanca S L","C. San Isidro, 6, 28921 Alcorcón, Madrid, Spain","916 42 81 93","3.1","82","Parking Garage","car_wash","Latina","https://maps.google.com/?cid=6947588025343239886&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ31YncWsnQg0RWfj_3xVXnuU","XCLEAN Car Wash & Detailing","Av de Andalucía esquina con, debajo del LIDL, Av. de los Poblados, parking -1, Usera, 28041 Madrid, Spain","614 31 65 05","4.7","112","Car Wash","car_wash","Usera","https://maps.google.com/?cid=16545757832469805145&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJt3Ow27snQg0RpsEklE9qB64","Autolavado Lorusa","C. de Arlanza, Carabanchel, 28019 Madrid, Spain","915 59 43 84","3.9","328","Car Wash","car_wash","Usera","https://maps.google.com/?cid=12540108577456832934&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ5-w-2bsnQg0Rq8rIT4OtQog","Lavado A Presión Gesa","C. de Arlanza, 19, Carabanchel, 28019 Madrid, Spain","","4.1","18","Car Wash","car_wash","Usera","https://maps.google.com/?cid=9818600917111982763&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ8foq6EomQg0RrcOOVxZWpkI","Washcenter CC Plaza Río 2","C. de Eugenio Caxes, 204, Usera, 28026 Madrid, Spain","652 31 34 52","2.7","67","Car Wash","car_wash","Usera","https://maps.google.com/?cid=4802620706595455917&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJHRys-bAlQg0RPdrOPLE2cTA","Lavadero Topcar Alcampo Vallecas","CC Alcampo Vallecas, C. Monleón, s/n, parking exterior, Puente de Vallecas, 28038 Madrid, Spain","697 31 38 57","4","103","Car Wash","car_wash","Puente de Vallecas","https://maps.google.com/?cid=3490631321046145597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
