"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJwyutZpwoQg0R1xObENslUa0","Chino Alimentación Bazar","Calle de Juan de Mena, 21, Retiro, 28014 Madrid, Spain","910 78 58 20","3.1","27","Convenience Store","convenience_store","Centro","https://maps.google.com/?cid=12488804864481760215&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJZ_4xyWgpQg0Rh7JjtPwrVfs","Alimentación","C. del Barco, 14, Centro, 28004 Madrid, Spain","","4.5","8","Convenience Store","convenience_store","Centro","https://maps.google.com/?cid=18110429840898503303&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJoTsZjCUmQg0R564RXplfDzM","Ucramarket Ukrainian Groceries","C. de Méndez Álvaro, 8, Arganzuela, 28045 Madrid, Spain","918 26 60 73","4.4","120","Grocery Store","convenience_store","Centro","https://maps.google.com/?cid=3679264532897836775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJVQdIz8QoQg0RCYRXo6PFDbY","Mi Alcampo","Calle del Gral. Zabala, 24, Chamartín, 28002 Madrid, Spain","911 76 14 97","4.5","66","Hypermarket","convenience_store","Chamartín","https://maps.google.com/?cid=13118358596210885641&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJaRphO7MnQg0R8ZKK6Wg5xwA","24-hour convenience","C. del Amor Hermoso, 33, Usera, 28026 Madrid, Spain","912 99 01 55","2.4","23","Convenience Store","convenience_store","Usera","https://maps.google.com/?cid=56076643122975473&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJp3NBnmIlQg0RTyTG6krxTyE","Alimentación y Productos Latinos La Ceiba","C. Pedro Callejo, 1, Puente de Vallecas, 28018 Madrid, Spain","653 38 31 44","4","12","Convenience Store","convenience_store","Moratalaz","https://maps.google.com/?cid=2400402430480491599&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJDwF9U7QlQg0ROyhF1F22X5s","Doña PRISY alimentación latina","C. Sierra del Cadí, 3, Puente de Vallecas, 28018 Madrid, Spain","604 83 45 34","5","10","Convenience Store","convenience_store","Moratalaz","https://maps.google.com/?cid=11195867712775858235&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJQXa-uJMlQg0RHbEqyMyofCQ","Alimentación","Cl. de la Hacienda de Pavones, 256, Moratalaz, 28030 Madrid, Spain","","4.3","4","Convenience Store","convenience_store","Moratalaz","https://maps.google.com/?cid=2629161879962562845&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJh6fszYYlQg0RKeKK4In6Eqk","Alimentación","C. de José García Granda, 3D, Puente de Vallecas, 28038 Madrid, Spain","","4","1","Convenience Store","convenience_store","Moratalaz","https://maps.google.com/?cid=12183075412075274793&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJg_iotCIhQg0R5tUeaquItyg","Dagustin","C. Fundidores, 28906 Getafe, Madrid, Spain","","1.8","4","Convenience Store","convenience_store","Villaverde","https://maps.google.com/?cid=2933963952056358374&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
