"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJL-z9UJooQg0Ra5AhTcCCq-4","Ferretería Villalar","C/ de Villalar, 9, Salamanca, 28001 Madrid, Spain","914 35 61 12","4.2","67","Hardware Store","electrician","Centro","https://maps.google.com/?cid=17197983364483747947&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJhem-724oQg0RJblntf_gbUA","Electricidad Varela reparaciones 24h","C. de Evaristo San Miguel, 17, Moncloa - Aravaca, 28008 Madrid, Spain","647 00 60 59","4.9","49","Electrician","electrician","Centro","https://maps.google.com/?cid=4642614179753605413&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJC-xu1CkmQg0RwJSucJ3hxCc","Gutierrez Sanabria Instalaciones","Calle de las Huertas, 72 Bajo (Esq, C. de la Berenjena, SUC.1902, Centro, 28014 Madrid, Spain","913 60 11 86","4.7","49","Electrician","electrician","Centro","https://maps.google.com/?cid=2865663329231082688&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJfwZxJjMmQg0RZdzp9sZBfzA","Desing led proyect","C. de Carvajales, 6, Arganzuela, 28005 Madrid, Spain","910 22 74 38","3.3","8","Home Improvement Store","electrician","Centro","https://maps.google.com/?cid=3494584158664645733&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJA8LbNbUnQg0Rx9edLbJkJms","EURO COMPONENTES FRIGORIFICOS S.L.","Calle de Antonio López, 138, Usera, 28026 Madrid, Spain","913 92 06 20","3.3","16","Electrician","electrician","Arganzuela","https://maps.google.com/?cid=7720969327605569479&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ4TjkEeMnQg0RrG6IRmJuXUU","Torres Iluminación (Ferretería Torres)","C. Jaime Tercero, 17, Latina, 28011 Madrid, Spain","914 63 19 35","4.9","421","Home Improvement Store","electrician","Arganzuela","https://maps.google.com/?cid=4998272529820315308&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJDYO-H7InQg0RNmbp0Kwmc2U","La Bombilla Mágica","C. de Isabelita Usera, 36, Usera, 28026 Madrid, Spain","914 75 02 19","4.6","25","Services","electrician","Arganzuela","https://maps.google.com/?cid=7310229143833634358&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJESHJPaopQg0RpCNlDLZ5u-Q","Fontanería y Suministros Fontamadrid","C. de Antonio Toledano, 5, Salamanca, 28028 Madrid, Spain","913 61 39 42","4","11","Plumber","electrician","Retiro","https://maps.google.com/?cid=16481901084091425700&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJATYiBzsmQg0REghLvTTmkko","Instavi Madrid","Calle del Gral. Lacy, 58, Arganzuela, 28045 Madrid, Spain","914 74 33 45","5","1","Electrician","electrician","Retiro","https://maps.google.com/?cid=5373610419594922002&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ5wb8RwgmQg0RJSHR0aulvoc","Taselec","C. Sta. Beatriz, 4, Puente de Vallecas, 28038 Madrid, Spain","915 01 87 59","4.8","4","Electrician","electrician","Retiro","https://maps.google.com/?cid=9781437598073430309&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ7873A2wnQg0RZ7kyC18xWRU","Mundo CAD obras y servicios","C. de Martín Soler, 7, local, Arganzuela, 28045 Madrid, Spain","912 64 79 82","5","38","Services","electrician","Retiro","https://maps.google.com/?cid=1538315032003262823&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJiW8lTtsoQg0Rh0iiL9zKY0Y","Atecalsa","C. de Pechuán, 12, Chamartín, 28002 Madrid, Spain","917 30 14 11","3.8","31","Services","electrician","Salamanca","https://maps.google.com/?cid=5072120652390090887&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJIYdF4jUvQg0Rcy0f3JXtBd4","Mayses Solutions S.L.","posterior, C. de la Virgen de la Roca, 24, Cdad. Lineal, 28027 Madrid, Spain","914 04 90 64","5","1","Electrician","electrician","Salamanca","https://maps.google.com/?cid=15998454479202495859&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJf_nhuAYpQg0Rkanf3XHCS7U","Ferretería Tetuán","C. Alonso Castrillo, 1, Tetuán, 28020 Madrid, Spain","919 31 17 33","4.4","129","Hardware Store","electrician","Chamartín","https://maps.google.com/?cid=13063748938427771281&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJe-oduB0pQg0RbYnBAwC179Y","Ferretería Electricidad HEFELEC","Calle del Prof. Waksman, 6, Chamartín, 28036 Madrid, Spain","914 58 03 55","5","8","Hardware Store","electrician","Chamartín","https://maps.google.com/?cid=15487796655218067821&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJhXOhhDovQg0RnQ1QK8LM1ig","Ferretería Lowell","C. de Aristóteles, 3, Cdad. Lineal, 28027 Madrid, Spain","630 49 06 16","3.6","32","Hardware Store","electrician","Chamartín","https://maps.google.com/?cid=2942764540855586205&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJPQwDLvkoQg0RfgLvu0gWpnA","Cadlux Iluminación - Trabajos de Electricidad e Instalaciones Eléctricas -","C. de Hernani, 34, Tetuán, 28020 Madrid, Spain","915 35 29 18","4.9","28","Home Improvement Store","electrician","Chamartín","https://maps.google.com/?cid=8117199880028357246&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJDaG3WbEpQg0R3c8i6FFK-6k","SERVICIOS 24 HORAS HUG MULTISERVICIOS","Calle del Dr. Fleming, Chamartín, 28036 Madrid, Spain","644 96 16 43","5","82","Electrician","electrician","Tetuán","https://maps.google.com/?cid=12248465327211597789&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJmXIB4f8oQg0RPiHZPQsI-t4","Instalaciones Aries","C. de Juan de Olías, 45, Tetuán, 28020 Madrid, Spain","","3.3","7","Electrician","electrician","Tetuán","https://maps.google.com/?cid=16067163464972968254&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJbcbe_jIpQg0RWgJ1-q0jTzU","El Ventanal de Chamartín","Mercado de Chamartín, C. de Bolivia, 9, Chamartín, 28016 Madrid, Spain","605 98 85 02","4.9","13","","electrician","Tetuán","https://maps.google.com/?cid=3841328237308609114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJx86cU_UoQg0RbyDJDVOrNNM","electricidad famicen-tracia s.l.las Tablas Madrid","C. del Cardenal Cisneros, 54, Chamberí, 28010 Madrid, Spain","629 11 68 08","0","0","Electrician","electrician","Chamberí","https://maps.google.com/?cid=15218977413993668719&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ3dYHHAApQg0Rl2AbvQUkbzU","Electricistas Madrid Rueda","C. de Boix y Morer, 7, Chamberí, 28003 Madrid, Spain","910 05 29 64","4.7","42","Electrician","electrician","Chamberí","https://maps.google.com/?cid=3850335813491187863&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJke4fAYKJQQ0R8SZmMo0KP7E","Multi servicios Electrodomésticos Yireh service","C. de Galicia, 44, Colonia Jardín, 28024 Madrid, Spain","615 65 20 22","4.7","209","Services","electrician","Latina","https://maps.google.com/?cid=12771938669798237937&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJa_v0Q7EnQg0ReGmtXkmle3w","Electricidad Elecmar SL","C. de Gabriel Usera, 11, Usera, 28026 Madrid, Spain","915 00 36 55","4.5","13","Services","electrician","Carabanchel","https://maps.google.com/?cid=8969944817378093432&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJD0dZ-7AnQg0RVOmEhymfPGY","ELECTROPHONE USERA","C. de Marcelo Usera, 133, linea 6, Usera, 28026 Madrid, Spain","","4.3","30","Services","electrician","Usera","https://maps.google.com/?cid=7366938091187398996&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJhetY-c8lQg0RvAEbs6VJmpA","Instalaciones Olmedo SL","local 2, C. de Pedro Laborde, 77, Puente de Vallecas, 28018 Madrid, Spain","917 77 75 55","4.3","11","Services","electrician","Puente de Vallecas","https://maps.google.com/?cid=10419721663898386876&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
