"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJNWUSxTAnQg0Rj8LaBaaYXbs","KS floristería","Paseo de las Delicias, 28, Arganzuela, 28045 Madrid, Spain","602 60 78 12","4.8","114","Florist","florist","Centro","https://maps.google.com/?cid=13501115096756830863&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJCcRifHkoQg0R_d5ax0Druao","La Real Flores y Jardines","Calle de la Independencia, 1, Centro, 28013 Madrid, Spain","915 47 15 77","4.7","77","Florist","florist","Centro","https://maps.google.com/?cid=12302122520594276093&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJp6F6fAsmQg0Rh8tNFOY4gyI","El Testarro Huerta Madrid","C/ de Peña Gorbea, 15, Puente de Vallecas, 28053 Madrid, Spain","914 33 90 54","4.7","228","Florist","florist","Arganzuela","https://maps.google.com/?cid=2486893980072921991&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ9SoETfsnQg0RnH-M-ybUErc","Floristería Flor de Vivi","C. de Granada, 42, local 5, Retiro, 28007 Madrid, Spain","608 89 91 27","4.9","141","Florist","florist","Retiro","https://maps.google.com/?cid=13191839522415738780&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJS5MkTZInQg0Rczgcky5eq1s","Florista María Garrido Pérez","Gta. Valle de Oro, s/n, Carabanchel, 28019 Madrid, Spain","914 72 15 15","4.6","72","Florist","florist","Latina","https://maps.google.com/?cid=6605476832598571123&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJSVHIV1wnQg0Rky4dlqquQjw","Floristeria La Vie en Rose","Av. de Ntra. Sra. de Fátima, 7, Carabanchel, 28047 Madrid, Spain","667 40 63 51","4.7","86","Florist","florist","Latina","https://maps.google.com/?cid=4342225038424747667&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJwVDZNz-IQQ0RFHuG8h6DPds","Floristería amparo sucursal aluche","Av. de los Poblados, 58, Latina, 28044 Madrid, Spain","631 94 14 00","4.3","84","Florist","florist","Latina","https://maps.google.com/?cid=15797927236826725140&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ2V03H0smQg0R0y1TNtWHIzM","Ars Floristeria","Calle de Antonio López, 154, Usera, 28026 Madrid, Spain","611 20 91 81","4.1","21","Florist","florist","Carabanchel","https://maps.google.com/?cid=3684938269928402387&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ6T1ymkwmQg0Rtggg7hoOOiQ","Floristería viveros Ordesa","C. de Marcelo Usera, 19, Usera, 28026 Madrid, Spain","914 76 85 79","4.3","112","Florist","florist","Carabanchel","https://maps.google.com/?cid=2610414442841639094&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJT88JNjYmQg0RSFeiiV-HoWk","Rosy Floristas","C. de Guillermo de Osma, 3, Arganzuela, 28045 Madrid, Spain","910 16 02 58","4.6","109","Florist","florist","Carabanchel","https://maps.google.com/?cid=7611513689633609544&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
