"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJxfNDjXwoQg0RXaxqXfnbLq0","Peluquería Mingliú","Calle de Silva, 13, Centro, 28004 Madrid, Spain","915 41 58 94","4.2","413","Hair Salon","hair_salon","Centro","https://maps.google.com/?cid=12479153481550834781&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJm_dlPysmQg0RNt8ww-j3u94","Tala Cosmeticos","C. de Lavapiés, 52, Centro, 28012 Madrid, Spain","642 06 49 98","4.3","216","Store","hair_salon","Centro","https://maps.google.com/?cid=16049694276144127798&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ_QCz3ZUoQg0Rnjyvul6L-3E","Salón Cheska","Calle Velázquez, 61, Salamanca, 28001 Madrid, Spain","915 77 29 36","4.4","436","Hair Salon","hair_salon","Retiro","https://maps.google.com/?cid=8213311584415464606&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJR8HAAaUoQg0RPk4ZoWPfHXg","Maria uñas - Madrid","Calle de O'Donnell, 41, Salamanca, 28009 Madrid, Spain","911 72 95 88","4.4","179","Nail Salon","hair_salon","Retiro","https://maps.google.com/?cid=8655319677873507902&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ4Y34_BkpQg0RM6tuO8fqfWs","Shakti belleza saludable","C. de Víctor Andrés Belaunde, 22, Chamartín, 28016 Madrid, Spain","646 42 96 06","4.6","361","Hair Salon","hair_salon","Chamartín","https://maps.google.com/?cid=7745605075563621171&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJlbn6NgEpQg0R5Gqqj161nbM","Harlem Maestros Barberos","Av. de Brasil, 19, Tetuán, 28020 Madrid, Spain","919 48 12 43","4.9","439","Barber shop","hair_salon","Tetuán","https://maps.google.com/?cid=12942700321874537188&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ4-dF01gpQg0RmSEajNHsejs","Disache C.B.","C. Pinos Alta, 33, Tetuán, 28029 Madrid, Spain","913 15 04 03","4.5","188","Hair Salon","hair_salon","Tetuán","https://maps.google.com/?cid=4285998380139291033&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJA8lHDfwpQg0RtE42IVUZEOI","CHAMER · Peluquería de caballeros - Barbería Madrid","C. de Carmen Sánchez Carrascosa, 5, Chamartín, 28046 Madrid, Spain","623 24 76 10","4.8","292","Hair Salon","hair_salon","Tetuán","https://maps.google.com/?cid=16289547705619205812&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJr9TOF7gpQg0RngVYk1HMCro","Sin Tirones Peluquería infantil","C. de la Isla de Oza, 76, Local 1, Moncloa - Aravaca, 28035 Madrid, Spain","915 15 47 84","4.6","414","Hair Salon","hair_salon","Tetuán","https://maps.google.com/?cid=13405751891558139294&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJoSlp3N8pQg0RdDb69NfkQtQ","Bravo Murillo 286","C. de Bravo Murillo, Tetuán, 28020 Madrid, Spain","","4.2","5","Hair Salon","hair_salon","Tetuán","https://maps.google.com/?cid=15295038900682765940&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJyW-UjUaIQQ0RAueK5fnALI8","Begoña","C. del Dr. Blanco Soler, 2, Latina, 28044 Madrid, Spain","917 06 58 58","4.8","22","Hair Salon","hair_salon","Moncloa - Aravaca","https://maps.google.com/?cid=10316833025929438978&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJF9SnPYonQg0R0eCaXKVoX1I","Merche Peluqueros","peluqueria, C. de la Laguna, 78, Carabanchel, 28025 Madrid, Spain","915 25 69 65","4.6","25","Hair Salon","hair_salon","Moncloa - Aravaca","https://maps.google.com/?cid=5935577893330149585&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ70DvAJmJQQ0RMfGGC4X90TE","Cherry Matute Peluqueria","C. de Illescas, 147, Latina, 28024 Madrid, Spain","692 45 67 69","4.7","242","Hair Salon","hair_salon","Latina","https://maps.google.com/?cid=3589929125856866609&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJtxHsSOgnQg0R69eQgwYjBnU","E+ Hair Salon 艺嘉理发店","C. de Dolores Barranco, 60, Usera, 28026 Madrid, Spain","681 01 37 76","4.8","113","Hair Salon","hair_salon","Latina","https://maps.google.com/?cid=8432465863181916139&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJaWy2esaJQQ0R5l_PBO9RmXE","Coral Montalvo","Av. de la Peseta, 50, Carabanchel, 28054 Madrid, Spain","915 11 29 87","4.8","984","Hair Salon","hair_salon","Latina","https://maps.google.com/?cid=8185663884742320102&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJPZEDTv4nQg0R4wtg6h3DRpk","Kapital Barber Shop","Av. de Córdoba, 25, Usera, 28026 Madrid, Spain","912 32 42 67","4.6","275","Hair Salon","hair_salon","Usera","https://maps.google.com/?cid=11044729669426351075&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJJSYUVoonQg0RmqZR28vSvrI","Peluquería Militza Polo","C. Jilguero, 5, Carabanchel, 28025 Madrid, Spain","673 25 39 96","4.9","368","Hair Salon","hair_salon","Usera","https://maps.google.com/?cid=12879963757325952666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
