"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJS7XYcYgoQg0RdS1Py2usBKE","Ferretería Colón, S.C.","C. de Colón, 7, Centro, 28004 Madrid, Spain","915 21 43 87","4.5","381","Hardware Store","hardware_store","Centro","https://maps.google.com/?cid=11602588118985682293&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJlZ9Zgi4mQg0RY6PMbzUV54I","López Calvo Tornillería","Cl. de José Antonio de Armona, 4, Arganzuela, 28012 Madrid, Spain","915 27 22 68","4.5","569","Hardware Store","hardware_store","Centro","https://maps.google.com/?cid=9432531263803925347&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJUav9lIkoQg0RLQy1ucjMYG0","Hardware Fuencarral 90","Calle de Fuencarral, 90, Centro, 28004 Madrid, Spain","915 21 70 68","3.6","176","Hardware Store","hardware_store","Centro","https://maps.google.com/?cid=7881524510379543597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJu7J-44AoQg0RqT1b1c92B_Q","Bazar chollo","C. de la Cruz, 3, Centro, 28012 Madrid, Spain","915 23 30 47","3.9","29","Store","hardware_store","Centro","https://maps.google.com/?cid=17584153905101225385&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJU0x4OiomQg0RjCmLdycp6f0","Ferretería-Iluminación Este Dragón","C. de Sta. Isabel, 26, Centro, 28012 Madrid, Spain","914 67 07 84","3.7","79","Hardware Store","hardware_store","Centro","https://maps.google.com/?cid=18296200210655422860&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ79u9FH8oQg0Rs9RcJ_w2Jmc","Cerrajería Super Rapido. Ferreteria","C. del Salvador, 6, Centro, 28012 Madrid, Spain","913 66 28 73","4.3","167","Locksmith","hardware_store","Centro","https://maps.google.com/?cid=7432688691641636019&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJL-z9UJooQg0Ra5AhTcCCq-4","Ferretería Villalar","C/ de Villalar, 9, Salamanca, 28001 Madrid, Spain","914 35 61 12","4.2","67","Hardware Store","hardware_store","Centro","https://maps.google.com/?cid=17197983364483747947&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJh3nYmG8oQg0RN0X470EvlI8","FERRETERÍA FERROCENTRO","C. de Ventura Rodríguez, 16, Moncloa - Aravaca, 28008 Madrid, Spain","917 58 01 30","4.7","80","Hardware Store","hardware_store","Centro","https://maps.google.com/?cid=10345946204222276919&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJBy21KrIoQg0RUYuHQyk6srg","Ferretería Ayala","P.º del Marqués de Zafra, 9, Salamanca, 28028 Madrid, Spain","917 26 30 62","4.5","326","Hardware Store","hardware_store","Retiro","https://maps.google.com/?cid=13308763797734263633&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ49IrIaQoQg0RFWktbCUlVNY","MOKA HOME","C. de Narváez, 47, Retiro, 28009 Madrid, Spain","915 74 94 97","4.1","765","Home Goods Store","hardware_store","Retiro","https://maps.google.com/?cid=15444009864819206421&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJReBftqcoQg0R-N27nf4xL-U","Fortune Home Bazar","C. del Doce de Octubre, 28, Retiro, 28009 Madrid, Spain","910 81 34 58","3.9","111","Home Goods Store","hardware_store","Retiro","https://maps.google.com/?cid=16514473328228687352&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJaflO87woQg0RXqxa938-luQ","Ferretería Benidorm","C. de Hermosilla, 70, Salamanca, 28001 Madrid, Spain","914 35 51 28","4.4","58","Hardware Store","hardware_store","Retiro","https://maps.google.com/?cid=16471421406485851230&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ__wWA74oQg0R8DBDXs-Rbf8","Ferretería Montesinos","Calle de Núñez de Balboa, 62, Salamanca, 28001 Madrid, Spain","915 75 18 65","4.7","63","Hardware Store","hardware_store","Retiro","https://maps.google.com/?cid=18405527571958804720&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJj2g3GIgnQg0RakB6sZAdtbI","Bazar Wuzi shop","C. del Duque de Fernán Núñez, 1, Centro, 28012 Madrid, Spain","","4.4","18","Store","hardware_store","Retiro","https://maps.google.com/?cid=12877231216825876586&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJc4wWQgsmQg0R1p7ls_RqbnM","Ferretería Pili","C. Puerto Alto, 4, Puente de Vallecas, 28053 Madrid, Spain","914 77 00 32","4.3","267","Hardware Store","hardware_store","Retiro","https://maps.google.com/?cid=8317703161022619350&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJZ7EWaAspQg0RfN3LgThxXH4","Ferretería Peropadre","Calle de Diego de León, 25, Salamanca, 28006 Madrid, Spain","915 62 12 19","4.1","77","Hardware Store","hardware_store","Salamanca","https://maps.google.com/?cid=9105277034146028924&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJR76-kkEpQg0RL83ksukNoQw","Ferretotal","C. de Mantuano, 9, LOCAL, Chamartín, 28002 Madrid, Spain","633 39 92 55","4.8","33","Hardware Store","hardware_store","Salamanca","https://maps.google.com/?cid=910023897085431087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJf_nhuAYpQg0Rkanf3XHCS7U","Ferretería Tetuán","C. Alonso Castrillo, 1, Tetuán, 28020 Madrid, Spain","919 31 17 33","4.4","129","Hardware Store","hardware_store","Chamartín","https://maps.google.com/?cid=13063748938427771281&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ3WH7sgcpQg0R3-y_6p7_6GE","El Molar","C. de la Hierbabuena, 51, Tetuán, 28039 Madrid, Spain","915 71 72 40","3.1","108","Hardware Store","hardware_store","Chamartín","https://maps.google.com/?cid=7055169874284244191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
