"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJp7ksboYoQg0RQfwUfZdTrnw","Lavandería | Wash & Lock","C. de San Marcos, 15, Centro, 28004 Madrid, Spain","910 64 51 14","4.4","213","Laundry","laundry","Centro","https://maps.google.com/?cid=8984210216754412609&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ1_Fek4EoQg0RURErzu7t0EE","launderette Cervantes","C. del León, 6, Centro, 28014 Madrid, Spain","914 29 95 45","4.5","242","Laundry","laundry","Centro","https://maps.google.com/?cid=4742552017538060625&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJP1paYZYpQg0Rw-Q6I8RUssE","Lavanderia Plaza de España","C. de San Bernardino, 4, Centro, 28013 Madrid, Spain","660 14 60 47","4","82","Laundry","laundry","Centro","https://maps.google.com/?cid=13957311396555973827&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJnZpn4KYoQg0RHDjS8ion-9E","El Rápido","C. de Narváez, 65, Retiro, 28009 Madrid, Spain","915 74 51 08","4.9","48","Laundry","laundry","Arganzuela","https://maps.google.com/?cid=15130730438497286172&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ-1m6sxkmQg0RZmSp_xboAFA","Lavandería Speed Queen Menéndez Pelayo","Avenida Menéndez Pelayo 113, Esquina, C. de Granada, 7, Retiro, 28007 Madrid, Spain","615 21 14 26","4.2","69","Laundry","laundry","Retiro","https://maps.google.com/?cid=5764862708510450790&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJreiXPjEmQg0RbRQoOLKcFx4","Laundry services 30","C. de la Batalla del Salado, 39, Arganzuela, 28045 Madrid, Spain","629 20 98 15","4.5","97","Laundry","laundry","Retiro","https://maps.google.com/?cid=2168374034862445677&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJEXDdJ-AlQg0R2f-EDbPJceY","Tintorería García","C. Picos de Europa, 9, Bajo, Puente de Vallecas, 28038 Madrid, Spain","914 37 03 81","4.9","98","Laundry","laundry","Retiro","https://maps.google.com/?cid=16605275071954878425&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJV0c06hkmQg0RYapax811gdQ","TINTORERIA RETIRO","C. de Granada, 22, Retiro, 28007 Madrid, Spain","627 17 00 08","4.1","109","Services","laundry","Retiro","https://maps.google.com/?cid=15312649734709750369&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJGbX_jZYoQg0Rj85wQ3himGE","Tintorería Mercado de la Paz","Cl. de Ayala, 28, Salamanca, 28001 Madrid, Spain","914 31 40 64","4.3","119","Laundry","laundry","Retiro","https://maps.google.com/?cid=7032479086806093455&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJzeoRNIsoQg0RPUJuhWAaLvA","La Wash","C. de Sta. Feliciana, 10, Chamberí, 28010 Madrid, Spain","629 97 65 35","4.5","114","Laundry","laundry","Salamanca","https://maps.google.com/?cid=17306799419889173053&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
