"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJ79u9FH8oQg0Rs9RcJ_w2Jmc","Cerrajería Super Rapido. Ferreteria","C. del Salvador, 6, Centro, 28012 Madrid, Spain","913 66 28 73","4.3","167","Locksmith","locksmith","Centro","https://maps.google.com/?cid=7432688691641636019&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJL-z9UJooQg0Ra5AhTcCCq-4","Ferretería Villalar","C/ de Villalar, 9, Salamanca, 28001 Madrid, Spain","914 35 61 12","4.2","67","Hardware Store","locksmith","Centro","https://maps.google.com/?cid=17197983364483747947&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJdSQo8V0oQg0R4-Zk6TnGuJc","Reparación de Calzado José Luis","C. de Vallehermoso, 39, Chamberí, 28015 Madrid, Spain","911 31 83 26","4.7","104","Services","locksmith","Centro","https://maps.google.com/?cid=10932706047473018595&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJtSL8NoYoQg0RW29w04nNjiQ","El Relámpago","C. de Pelayo, 23, Centro, 28004 Madrid, Spain","915 32 66 87","4.7","72","Locksmith","locksmith","Centro","https://maps.google.com/?cid=2634268823899893595&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJrco6egwmQg0RQ3PL8iK-DIA","Cerrajeria La Llave","Pl. Puerto Rubio, 1, Puente de Vallecas, 28053 Madrid, Spain","629 70 73 45","4.8","162","Store","locksmith","Arganzuela","https://maps.google.com/?cid=9226958793886888771&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJB5SllsYnQg0RfpGizWb4uCk","Ferretería Membrives","C. Lola de Membrives, Nº8, Carabanchel, 28019 Madrid, Spain","914 72 29 92","3.7","115","Hardware Store","locksmith","Arganzuela","https://maps.google.com/?cid=3006425871690142078&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJH7jINv8mQg0RhYLFr_LASYc","Libreria Maripaz Papeleria","C. Salado, 2, Usera, 28041 Madrid, Spain","913 17 93 78","4.5","286","Store","locksmith","Arganzuela","https://maps.google.com/?cid=9748535016983724677&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJvz9205AnQg0Rm2QELdh8-Ms","FERRETERÍA SAMANIEGO","C. del Pelicano, 30, Carabanchel, 28025 Madrid, Spain","915 25 00 26","4.7","86","Hardware Store","locksmith","Arganzuela","https://maps.google.com/?cid=14697634651833656475&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ7etUIHcmQg0RFrMqfTsri08","Foto San Diego","C. de Carlos Martín Álvarez, 75, Puente de Vallecas, 28018 Madrid, Spain","914 78 51 59","4.3","72","Electronics Store","locksmith","Arganzuela","https://maps.google.com/?cid=5731722485262103318&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJa6m3Is0oQg0R_lXmGTJP-OI","Miguel Angel Portillo SL Commercial","C. de Brístol, 7, Salamanca, 28028 Madrid, Spain","917 25 27 44","4.5","100","Hardware Store","locksmith","Salamanca","https://maps.google.com/?cid=16354909123397441022&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
