"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJpd48SGonQg0R8RcRPPgn-Zg","MUDANZAS RAPID24","C. Leonor González, 11, Puente de Vallecas, 28038 Madrid, Spain","640 83 70 60","4.8","42","Mover","moving_company","Arganzuela","https://maps.google.com/?cid=11022885510079125489&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJnZY6t40lQg0R4RjOrxL7HsA","Mudanzas Abdon","C. del Pico Anayet, 4, Puente de Vallecas, 28038 Madrid, Spain","666 79 94 03","0","0","Mover","moving_company","Retiro","https://maps.google.com/?cid=13843778362260986081&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJgbOHgnYlQg0RqZr7y-cM9YY","Compra de Catalizadores en Madrid","Cmo de Valderribas, 112, Puente de Vallecas, 28038 Madrid, Spain","669 25 41 50","0","0","Services","moving_company","Retiro","https://maps.google.com/?cid=9724693160075696809&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJEQwaeP8lQg0RBrmhJd4sIKQ","Mudanzas Domingo López","C. del Corregidor Diego de Valderrábano, 59, Moratalaz, 28030 Madrid, Spain","","3","3","Mover","moving_company","Retiro","https://maps.google.com/?cid=11826501954100640006&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJXfdhtpQpQg0RS07qP5A2KiI","A . P . ARROYO","C. de Ávila, 2, Tetuán, 28020 Madrid, Spain","639 46 64 62","5","1","Mover","moving_company","Tetuán","https://maps.google.com/?cid=2461840139486907979&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJwagv4z0pQg0RbKmY7ODBKlA","MUDANZAS PLAZA CASTILLA MADRID","C/ de Poniente, 25, Chamartín, 28036 Madrid, Spain","613 46 98 34","0","0","Mover","moving_company","Tetuán","https://maps.google.com/?cid=5776642643842345324&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJAd5pdcYnQg0RxyW9U59Fv6A","Transportes Bravo","C. de Belzunegui, 14, 5a, Carabanchel, 28025 Madrid, Spain","602 36 18 79","5","23","Shipping Service","moving_company","Latina","https://maps.google.com/?cid=11583053317227226567&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJaa-u7fgnQg0R9Bp4hSUfSRE","mudanzas anticrisis","C. de Cebreros, 8, Latina, 28011 Madrid, Spain","650 56 04 72","5","4","Mover","moving_company","Latina","https://maps.google.com/?cid=1245561017958144756&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJyfNi__GJQQ0RiVEcSjPZoiQ","RECOGIDA DE MUEBLES GRATIS","C. de Carcastillo, 7, Carabanchel, 28025 Madrid, Spain","698 62 48 05","4.6","59","Services","moving_company","Carabanchel","https://maps.google.com/?cid=2639911145902461321&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJFWW8y08nQg0RQ88kRoHDQqg","Inter express 2014 SL","C. del Chimbo, 25, Carabanchel, 28025 Madrid, Spain","642 41 51 15","4.8","30","Mover","moving_company","Carabanchel","https://maps.google.com/?cid=12124468106829811523&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
