"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJt5NeHZIoQg0RKTrzk3gs-KY","Pintor: Ouka Leele","C. del Monte Esquinza, 22, Chamberí, 28010 Madrid, Spain","913 19 18 84","5","2","Painter","painter","Centro","https://maps.google.com/?cid=12031415300910168617&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJt78tPNQnQg0Rv1vwuNIHJS4","Ramírez","C/ de la Ribera de Curtidores, 13, Centro, 28005 Madrid, Spain","914 68 33 90","4.7","13","Painter","painter","Centro","https://maps.google.com/?cid=3325072501510265791&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJlw6rTFMpQg0ROpJdaV_nzCA","Lacado de Muebles","C. del Cardenal Cisneros, 21, bajo interior 2, Chamberí, 28010 Madrid, Spain","919 99 00 96","4","4","Painter","painter","Centro","https://maps.google.com/?cid=2363518301438317114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ78r3h9UnQg0Rtbf-kh7bH1o","Juan Gomila Farrés","Calle de la Colegiata, 11, Centro, 28012 Madrid, Spain","913 69 22 89","5","2","Painter","painter","Centro","https://maps.google.com/?cid=6494150112053213109&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJU3zXlyomQg0RYIhdezua-iA","Pinturas Especiales","C. del Olivar, Centro, 28012 Madrid, Spain","669 15 38 86","5","1","Painter","painter","Centro","https://maps.google.com/?cid=2376381333654833248&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ46dKhpcnQg0Rwg50fAkZlck","Pinturas y Reformas Económicas y de Calidad","C. de Rodrigo de Guevara, 1, Centro, 28005 Madrid, Spain","612 56 69 70","0","0","Services","painter","Centro","https://maps.google.com/?cid=14525543701686783682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJnaudeCgnQg0RatdK_OrOM-0","Pinturas Borreguero","Calle de Antonio López, 164, Usera, 28026 Madrid, Spain","","4.1","302","Building Materials Store","painter","Arganzuela","https://maps.google.com/?cid=17092232519451596650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ0YEe9KgoQg0RzwWbArfqJd4","Rementería","C/ del Alcalde Sainz de Baranda, 55, Retiro, 28009 Madrid, Spain","915 73 72 32","5","1","Painter","painter","Arganzuela","https://maps.google.com/?cid=16007458522301924815&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ_bQK-DkmQg0Rc8ICgmhZAUQ","Sinor","C. de Tomás Bretón, 47, Arganzuela, 28045 Madrid, Spain","918 43 92 61","2.5","2","General Contractor","painter","Arganzuela","https://maps.google.com/?cid=4900296174948500083&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJEe9ODjonQg0Rll5GTYRKFT4","Reformas Henriquez","Av. de Peña Prieta, 56, Puente de Vallecas, 28038 Madrid, Spain","722 54 50 96","0","0","Services","painter","Arganzuela","https://maps.google.com/?cid=4473563736955051670&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJtX0ELmEnQg0RKQWXXrPtLBs","MGQ Reformas","C. Julio Merino, 11, Usera, 28026 Madrid, Spain","629 92 72 19","1","1","Services","painter","Arganzuela","https://maps.google.com/?cid=1958201292641207593&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJQ_n8u0QnQg0R74s5gAKCwP4","Pintor y Alisados Carlos collahua","Av. de Córdoba, 2, 2 M, Usera, 28026 Madrid, Spain","688 87 96 89","4.3","3","Painter","painter","Arganzuela","https://maps.google.com/?cid=18356815028414942191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJlS5ijjEpQg0Rug53WvAEZXI","RECON MADRID Reformas y Construcción","C. de Menorca, Retiro, 28009 Madrid, Spain","664 84 76 24","0","0","General Contractor","painter","Retiro","https://maps.google.com/?cid=8243000123327975098&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJa4HMYAAnQg0RqbszTnYvP0o","DC Pintores Madrid","C. del Dr. Esquerdo, 157-155, Retiro, 28007 Retiro, Madrid, Spain","641 32 45 11","5","1","Painter","painter","Retiro","https://maps.google.com/?cid=5350047067504098217&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJf7XsHAMmQg0RKbJnmkhUDgU","Francesca Ghisleri","C. Jericó, 2, Retiro, 28007 Madrid, Spain","633 38 49 92","0","0","Painter","painter","Retiro","https://maps.google.com/?cid=364321290668454441&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ29ip2PclQg0RKWXnMhXbJaw","RASAN pintura y decoración","C. del Arroyo de las Pilillas, 22, Moratalaz, 28030 Madrid, Spain","914 37 98 91","0","0","Painter","painter","Retiro","https://maps.google.com/?cid=12404561632756720937&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ_XYU5mYpQg0Rs-1KYFq2nqs","Mundo Pinturas Suministros Sotillo","C. del Corazón de María, 11, Chamartín, 28002 Madrid, Spain","690 34 10 84","4.7","44","Building Materials Store","painter","Salamanca","https://maps.google.com/?cid=12366522126084795827&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJb6FbRbYoQg0RPEGolvqGgEI","Heriberto Muela Quesada","C. de Ricardo de la Vega, 8, Salamanca, 28028 Madrid, Spain","917 25 64 35","5","3","Painter","painter","Salamanca","https://maps.google.com/?cid=4791978414349762876&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJJYvOBKspQg0RHMTOdK8GBuA","Hurtado Pintura en General","C. de Jerónima Llorente, 19, Tetuán, 28039 Madrid, Spain","609 02 30 18","0","0","Painter","painter","Chamartín","https://maps.google.com/?cid=16142597265004872732&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ04E7fK0pQg0RjlZQcrE8zX8","Pintor económico y manitas","C/ de Magdalena Díez, Tetuán, 28039 Madrid, Spain","649 12 13 18","4.7","20","Painter","painter","Chamartín","https://maps.google.com/?cid=9209083545867277966&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJRZ5jlRopQg0R47qwqGPZJ8w","Pinturas Jag","C. del Poeta Joan Maragall, 58, Tetuán, 28020 Madrid, Spain","687 25 91 22","0","0","Painter","painter","Chamartín","https://maps.google.com/?cid=14710965729884158691&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ78iwLO0pQg0RCD2U76Zreh8","Reformas y Pintura Vasi","C. del Nenúfar, 17, Tetuán, 28039 Madrid, Spain","910 18 44 83","3.2","20","Painter","painter","Tetuán","https://maps.google.com/?cid=2268243727062678792&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJPemlOOQoQg0RIzHzoSm74KY","Agustín Redondela","C. del Guadalquivir, 19, Chamartín, 28002 Madrid, Spain","915 61 95 43","0","0","Painter","painter","Tetuán","https://maps.google.com/?cid=12024816792564347171&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJe38kL5gpQg0RxQe7pxIeX7c","Vertigo","C. de Ponferrada, 45, Fuencarral-El Pardo, 28029 Madrid, Spain","661 61 48 70","0","0","Painter","painter","Tetuán","https://maps.google.com/?cid=13213312897200621509&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ8fFyDVUpQg0R2IfDumzkuoI","Exsaservis Reformas e Instalaciones - Empresa de Reformas en Madrid","C. de Álvarez, 9, LOCAL, Tetuán, 28029 Madrid, Spain","640 15 48 47","0","0","Services","painter","Tetuán","https://maps.google.com/?cid=9420092726239791064&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ3as7VhMpQg0R3RIoZm_Y-Qw","Pintores-Decoradores","P.º de la Castellana, 255, Tetuán, 28046 Madrid, Spain","611 43 97 07","0","0","Painter","painter","Tetuán","https://maps.google.com/?cid=935016370622960349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJQTeMFrgpQg0RhxGbAwQVFKI","Manuel Prior Bueno","C. de la Isla de Oza, 59, Moncloa - Aravaca, 28035 Madrid, Spain","913 73 17 64","0","0","Painter","painter","Tetuán","https://maps.google.com/?cid=11678982840663085447&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJTT826T0pQg0RIpDsoizF3n0","PINTURAS STANLEY","C. de la Aviación Española, 6, 7ª, Chamberí, 28003 Madrid, Spain","914 42 61 75","0","0","Painter","painter","Chamberí","https://maps.google.com/?cid=9069903495073402914&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJEXqY7j8pQg0RbjXN4en-xSU","Pinturas JC","C. de Julián Romea, 5, Chamberí, 28003 Madrid, Spain","622 54 32 03","0","0","Painter","painter","Chamberí","https://maps.google.com/?cid=2721861830284490094&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJyw2QKPUpQg0RIv9gnxSoFXk","Pintores LowCost Madrid","Calle MADRID, 1, Chamberí, 28005 Madrid, Spain","604 39 00 45","0","0","Painter","painter","Chamberí","https://maps.google.com/?cid=8725064659626950434&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJTxYsu6MpQg0RopE6hlnZBcI","Pintores En Madrid","Plaza de Sta. Bárbara, 5, 3C, Centro, 28004 Madrid, Spain","910 60 12 58","5","1","Painter","painter","Chamberí","https://maps.google.com/?cid=13980819596768874914&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJiU7FxvHVQw0RdWBYqEU-Yc4","Decopaint pintores","Av de Castilla y León, 9, 28760 Tres Cantos, Madrid, Spain","695 08 17 18","5","2","Painter","painter","Fuencarral - El Pardo","https://maps.google.com/?cid=14871235913452118133&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ4w1cF--JQQ0Rdv5830GU6JY","Pinturas Santamaria","Cl. de los Yébenes, 137, Latina, 28047 Madrid, Spain","649 60 87 03","5","1","Painter","painter","Carabanchel","https://maps.google.com/?cid=10874104310929358454&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
