"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJ4a_YJs0nQg0RVdHKi5tVw-o","Clinica Veterinaria Paseo de la Esperanza","P.º de la Esperanza, 27, Arganzuela, 28005 Madrid, Spain","914 74 91 96","4.5","41","Veterinary Care","pet_store","Centro","https://maps.google.com/?cid=16916458751887331669&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJKSKKbAMpQg0R8Fapji2yOtQ","peluqueria y tienda de animales","Calle de Doña Berenguela, 12, Latina, 28011 Madrid, Spain","635 22 54 47","4.6","17","Pet Store","pet_store","Centro","https://maps.google.com/?cid=15292731393426675440&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJjSirVzApQg0RDGeboNm6EqM","Softluciona","C. de Toledo, 33, Centro, 28005 Madrid, Spain","644 44 45 74","0","0","Pet Store","pet_store","Centro","https://maps.google.com/?cid=11750659821628253964&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJyRtoO-cpQg0Rm6zj0nL3g5Q","Mundo Animal","C. de Luchana, 28, Chamberí, 28010 Madrid, Spain","722 39 71 30","0","0","Pet Store","pet_store","Centro","https://maps.google.com/?cid=10701669212098899099&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJM7UnuNMpQg0R-5ErnDfFlQw","Arias peluquería canina","C. de la Palma, 68, Centro, 28015 Madrid, Spain","624 15 78 81","4.9","7","Pet Store","pet_store","Centro","https://maps.google.com/?cid=906847742618997243&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJZ81KSzYmQg0RI9eF7bXS2fM","KOKA'S Pet Shop","Pl. de la Beata María Ana de Jesús, 12, Arganzuela, 28045 Madrid, Spain","673 44 71 60","4.7","168","Pet Store","pet_store","Arganzuela","https://maps.google.com/?cid=17571307099978585891&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJuXPmYhkmQg0RUU3G1lf_L4U","Petmanía","C. de Cavanilles, 3, Retiro, 28007 Madrid, Spain","914 34 59 21","4.6","301","Pet Store","pet_store","Arganzuela","https://maps.google.com/?cid=9597170083680374097&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJrRenIA4mQg0RpiXRT9coJyo","Mascotamanía","Av. de la Ciudad de Barcelona, 87, Retiro, 28007 Madrid, Spain","915 51 26 56","4.6","243","Pet Store","pet_store","Arganzuela","https://maps.google.com/?cid=3037441378906875302&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJL62KWVUoQg0RcISzDX8UJ2c","Pajarería Isabel","Calle de Castilla, 1, Tetuán, 28039 Madrid, Spain","914 50 05 03","4.7","131","Pet Store","pet_store","Chamartín","https://maps.google.com/?cid=7432932245921563760&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJie6eBqspQg0R_N8N5pu8-qk","101 Amigos (Peluqueria Canina)","C. del Dr. Mariani, 8, Tetuán, 28039 Madrid, Spain","608 50 55 51","4.7","81","Pet Care","pet_store","Tetuán","https://maps.google.com/?cid=12248309514353106940&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
