"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJKZgbhbQoQg0R0KFUfd4wxvs","Ferretería Bangla Bazar","C. del Amparo, 51, Centro, 28012 Madrid, Spain","911 40 51 57","3.9","17","Hardware Store","plumber","Centro","https://maps.google.com/?cid=18142241881052193232&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJZZ5psaMpQg0RZE_n0FOd-fM","Fontanería BARBIERI","C. de Barbieri, 18, Centro, 28004 Madrid, Spain","915 31 30 11","4.6","30","Plumber","plumber","Centro","https://maps.google.com/?cid=17580255603730108260&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJvz9205AnQg0Rm2QELdh8-Ms","FERRETERÍA SAMANIEGO","C. del Pelicano, 30, Carabanchel, 28025 Madrid, Spain","915 25 00 26","4.7","86","Hardware Store","plumber","Arganzuela","https://maps.google.com/?cid=14697634651833656475&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJESHJPaopQg0RpCNlDLZ5u-Q","Fontanería y Suministros Fontamadrid","C. de Antonio Toledano, 5, Salamanca, 28028 Madrid, Spain","913 61 39 42","4","11","Plumber","plumber","Retiro","https://maps.google.com/?cid=16481901084091425700&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJi0OJuzEmQg0RkH2gxT213uM","Fontaneria Angel López","C. de la Batalla del Salado, 24, Arganzuela, 28045 Madrid, Spain","689 41 29 14","2.7","11","Plumber","plumber","Retiro","https://maps.google.com/?cid=16419760568352669072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJgz_4vKIoQg0Ran21neNjX2U","Fontanería Angel Gómez S L","Calle de Castelló, 5, Salamanca, 28001 Madrid, Spain","670 58 66 47","4.5","8","Plumber","plumber","Salamanca","https://maps.google.com/?cid=7304666949872876906&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJhXOhhDovQg0RnQ1QK8LM1ig","Ferretería Lowell","C. de Aristóteles, 3, Cdad. Lineal, 28027 Madrid, Spain","630 49 06 16","3.6","32","Hardware Store","plumber","Chamartín","https://maps.google.com/?cid=2942764540855586205&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJc9TEtt8oQg0RTf7PlUysS2g","Angel González Saneamientos","C. de Serrano, 220, Chamartín, 28016 Madrid, Spain","915 64 96 89","1.3","3","Plumber","plumber","Tetuán","https://maps.google.com/?cid=7515289848128732749&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJwYgS7VEpQg0RIwJ8yVyzS7Y","J.garcia","C. de Palencia, 42, Tetuán, 28020 Madrid, Spain","915 33 39 31","4.9","60","Plumber","plumber","Tetuán","https://maps.google.com/?cid=13135789949254894115&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJbcbe_jIpQg0RWgJ1-q0jTzU","El Ventanal de Chamartín","Mercado de Chamartín, C. de Bolivia, 9, Chamartín, 28016 Madrid, Spain","605 98 85 02","4.9","13","","plumber","Tetuán","https://maps.google.com/?cid=3841328237308609114&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
