"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJbwN_XVUoQg0R1GQIeYekmsM","Jessica","C. de Bravo Murillo, 161, Tetuán, 28020 Madrid, Spain","622 03 56 88","4","42","Shoe Store","shoe_store","Chamartín","https://maps.google.com/?cid=14094758885567522004&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJh4wc4EIoQg0RRLrvVPQ_JfU","Zapatos Aurori","C. de Fernández de los Ríos, 86, Chamberí, 28015 Madrid, Spain","915 44 02 72","4.4","128","Shoe Store","shoe_store","Chamberí","https://maps.google.com/?cid=17664595432060205636&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ4bzs3ZMnQg0RVNkhW1y3HSI","La Tienda de la Dependencia Madrid","Av. de Oporto, 71, Carabanchel, 28019 Madrid, Spain","914 71 97 33","4.4","73","Shoe Store","shoe_store","Latina","https://maps.google.com/?cid=2458322578907978068&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJDW6N5komQg0R5LLUv7-Fy-0","SKECHERS","Calle de Antonio López, 109, Plaza Río, 2, C.C, Usera, 28026 Madrid, Spain","917 95 71 53","4.2","419","Shoe Store","shoe_store","Carabanchel","https://maps.google.com/?cid=17134936265864819428&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJAQCQlN0lQg0R6QtzU2yejHY","Ortopedia Albufera - PRIM","C. del Cerro Negro, 2, Retiro, 28007 Madrid, Spain","914 77 60 49","3.3","24","Doctor","shoe_store","Puente de Vallecas","https://maps.google.com/?cid=8542376781308693481&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJG3KH1IEvQg0Rs0KRi7ktRu4","Farmacia CC Las Rosas","C.C Las Rosas, Av. de Guadalajara, 2, San Blas-Canillejas, 28032 Madrid, Spain","913 06 30 21","3.5","81","Pharmacy","shoe_store","Moratalaz","https://maps.google.com/?cid=17169460904330347187&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJryiME3YlQg0ROX2YA6JOZdA","BAZstop","Blvr. de Indalecio Prieto, 17, Vicálvaro, 28032 Madrid, Spain","917 51 01 67","4.4","87","Shoe Store","shoe_store","Moratalaz","https://maps.google.com/?cid=15016494990288780601&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ1xS30cYgQg0RJ_yYVDoEJcQ","Don Ciempiés","Av. de las Ciudades, 50, 28903 Getafe, Madrid, Spain","","4.2","51","Shoe Store","shoe_store","Villaverde","https://maps.google.com/?cid=14133707654146096167&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJKwjQhU8nQg0RAgw21htfN14","Skechers","C.C. PARQUE SUR, Av. gran bretaña, S/N, 28916 Leganés, Madrid, Spain","917 31 00 31","4.1","604","Shoe Store","shoe_store","Villaverde","https://maps.google.com/?cid=6788999536446934018&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJm7pXwwcnQg0Ryiz-_rzKdXM","Drugstore Deva","C. Deva, 7, Usera, 28041 Madrid, Spain","913 41 44 01","4","54","Pharmacy","shoe_store","Villaverde","https://maps.google.com/?cid=8319778799717592266&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJjRlcYjsnQg0Rrenbxf8yG1M","Taller De Zapateria","C. del Talco, 45, Villaverde, 28021 Madrid, Spain","","4.7","42","Shoe Store","shoe_store","Villaverde","https://maps.google.com/?cid=5988436203636779437&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ8_DfRdwkQg0RdaWrKLBkgIY","SKECHERS","C. Adolfo Bioy Casares, 2, Villa de Vallecas, 28051 Madrid, Spain","914 94 87 23","4.1","915","Shoe Store","shoe_store","Villa de Vallecas","https://maps.google.com/?cid=9691857105860666741&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ90QCeA4wQg0RPeMiVXKJEUY","Footwear Plus Ultra","Av. de la Constitución, 41, 28821 Coslada, Madrid, Spain","916 74 60 72","4.3","18","Shoe Store","shoe_store","Vicálvaro","https://maps.google.com/?cid=5048967781406663485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ-TJp89ovQg0RBT-3698_Xw0","Skechers","C.C PLENILUNIO PARQ. EMP LAS MERCEDES, C. de Aracne, s / n, San Blas-Canillejas, 28022 Madrid, Spain","917 47 28 05","4.1","498","Shoe Store","shoe_store","Barajas","https://maps.google.com/?cid=963559076245487365&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
