"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJ-S0pBlkpQg0RTCmVJ9BSFKo","Mártires Concepcionistas","C. de las Mártires Concepcionistas, 5, Salamanca, 28006 Madrid, Spain","","4.8","15","Tailor","tailor","Retiro","https://maps.google.com/?cid=12255511539952724300&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJQYK1mbEpQg0RawNMhDUjo-Y","Ana y Jannet | Arreglos y confección de todo tipo de ropa","C. del Cactus, 43, Tetuán, 28039 Madrid, Spain","629 38 61 21","4.9","129","Clothing Store","tailor","Chamartín","https://maps.google.com/?cid=16619165762687075179&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJu20-0uooQg0RkAsdANJsa20","Suitz","Calle de Lagasca, 101, Salamanca, 28006 Madrid, Spain","644 54 97 89","4.6","65","Tailor","tailor","Chamartín","https://maps.google.com/?cid=7884515221843020688&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJEQQ9kf4oQg0RQxEPhu-lMqw","J & Z - Arreglos de Ropa y Sastrería","C. de Jaén, 43, Tetuán, 28020 Madrid, Spain","607 41 86 83","3.9","14","Tailor","tailor","Tetuán","https://maps.google.com/?cid=12408162371524038979&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJE-GuOKspQg0RYbDpKW5MJIM","R. Buján Vilariño","C. de Oudrid, 8, Tetuán, 28039 Madrid, Spain","914 50 52 19","0","0","Tailor","tailor","Tetuán","https://maps.google.com/?cid=9449761954163437665&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ_Y8csjkpQg0RqcxLSf0M-l4","costurera","Calle de María de Guzmán, 45, Chamberí, 28003 Madrid, Spain","06 86134735","0","0","Tailor","tailor","Tetuán","https://maps.google.com/?cid=6843796865738853545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJm_0NAgApQg0R1jtYzzvOn9Q","Tintorería y arreglos EMILY","C. de Montevideo, 28, Tetuán, 28020 Madrid, Spain","654 49 03 01","5","4","Tailor","tailor","Tetuán","https://maps.google.com/?cid=15321191213614775254&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJk-Euo1EoQg0R1GMIcRSb1ik","Manuel Iglesias Antúnez","Av. de la Reina Victoria, 42, Moncloa - Aravaca, 28003 Madrid, Spain","915 53 36 36","0","0","Tailor","tailor","Tetuán","https://maps.google.com/?cid=3014767512669152212&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ52WXbagnQg0RNN8mzOz8IIU","las costuras de Maria","C. Eduardo Morales, 27, Carabanchel, 28025 Madrid, Spain","680 69 16 68","4.5","11","Tailor","tailor","Latina","https://maps.google.com/?cid=9592945300266737460&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ9Q36mhYpQg0RJPCMZgOaS6A","Arreglo de ropa","C. de la Laguna, 12, local 6, Latina, 28047 Madrid, Spain","640 23 99 86","4.9","16","Store","tailor","Latina","https://maps.google.com/?cid=11550495008717860900&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ0c_pYu4nQg0R5NphBVtoI_0","Arreglos de ropa","C. Esteban de Arteaga, 2, Carabanchel, 28019 Madrid, Spain","","4.1","14","Tailor","tailor","Latina","https://maps.google.com/?cid=18240537655922252516&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ7apr5a0nQg0RPck2rkFjatA","Arreglos Mi Dedal de Usera","C. de Isabelita Usera, 61, Usera, 28026 Madrid, Spain","","5","1","Tailor","tailor","Latina","https://maps.google.com/?cid=15017925041167190333&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
