"place_id","name","address","phone","rating","review_count","primary_type","sector","area","google_maps_url"
"ChIJd7GpNmcoQg0R-RHJzBMOMrs","Sadeco","Calle de Rodríguez San Pedro, 9C, Chamberí, 28015 Madrid, Spain","","5","1","Tire Shop","tire_shop","Centro","https://maps.google.com/?cid=13488859312130953721&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJDa6T7IEoQg0RhMORanmuEoc","Neumáticos Fuentes","C. del León, 9, Centro, 28014 Madrid, Spain","916 42 00 39","0","0","Tire Shop","tire_shop","Centro","https://maps.google.com/?cid=9733033581203276676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJz7pLG38oQg0RGk90VGZ2utw","Hermanos Hya Inmgsetion","Calle de la Fresa, 64, Centro, 28012 Madrid, Spain","916 68 66 55","1","1","Tire Shop","tire_shop","Centro","https://maps.google.com/?cid=15905155215887978266&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJtbrNMHAmQg0RNWTh2WYOByw","Neumáticos Maurad S.L.","C. de Mejorana, 5, Puente de Vallecas, 28053 Madrid, Spain","914 78 20 45","4.4","120","Tire Shop","tire_shop","Arganzuela","https://maps.google.com/?cid=3172520297410683957&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJk9itZ3UmQg0RW7sT5o8cOro","Talleres Perauto","C. del Monte Perdido, 129, Puente de Vallecas, 28053 Madrid, Spain","914 77 73 12","4.7","75","Car repair and maintenance service","tire_shop","Arganzuela","https://maps.google.com/?cid=13419069444069768027&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJ-4xGFMMlQg0RoO1517nbD1o","Neumáticos Blanco","Av. de San Diego, 72, Puente de Vallecas, 28053 Madrid, Spain","914 77 09 72","4.1","67","Tire Shop","tire_shop","Arganzuela","https://maps.google.com/?cid=6489647179294698912&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJHxhK2HEpQg0RFatcAMs0CEA","reparación de llantas","C. de Pío Baroja, 6, Retiro, 28009 Madrid, Spain","927 804 048","5","1","Tire Shop","tire_shop","Arganzuela","https://maps.google.com/?cid=4613995864730151701&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJOQ5qunEmQg0RuFgSQ7B0OuA","Neumáticos de Segunda mano baratos en Madrid| Neumáticos baratos","C. del Pintor Sorolla, 3, Puente de Vallecas, 28053 Madrid, Spain","914 78 14 19","4.1","24","Tire Shop","tire_shop","Arganzuela","https://maps.google.com/?cid=16157354913533417656&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJBf0l8HMmQg0Rh4phG80OqKM","José Antonio Jiménez Díaz","C. de Manuel Maroto, 4, Puente de Vallecas, 28053 Madrid, Spain","914 78 88 98","4.9","57","Tire Shop","tire_shop","Arganzuela","https://maps.google.com/?cid=11792691898360105607&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
"ChIJgcsjsIEnQg0RcAItvb1Vfgs","taller de reparación de neumáticos cerca de Romario","C. del Pintor Sorolla, 1, Puente de Vallecas, 28053 Madrid, Spain","914 390 959","0","0","Tire Shop","tire_shop","Arganzuela","https://maps.google.com/?cid=828193654893773424&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA"
